Dialogue_ID,Utterance,true_emotion,Predicted_Emotion,window_size
0,Why do all you’re coffee mugs have numbers on the bottom?,surprise,neutral,3
0,"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",anger,joy,3
0,Y'know what?,neutral,neutral,3
1,"Come on, Lydia, you can do it.",neutral,joy,3
1,Push!,joy,joy,3
1,"Push 'em out, push 'em out, harder, harder.",joy,neutral,3
1,"Push 'em out, push 'em out, way out!",joy,joy,3
1,"Let's get that ball and really move, hey, hey, ho, ho.",joy,joy,3
1,"Let's—  I was just—yeah, right.",joy,joy,3
1,Push!,joy,joy,3
1,Push!,joy,joy,3
2,Okay.,neutral,neutral,3
2,"Ross, didn't you say that there was an elevator in here?",neutral,neutral,3
2,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,neutral,3
2,"Okay, go left. Left! Left!",surprise,neutral,3
2,"Okay, y'know what? There is no more left, left!",anger,anger,3
2,"Oh okay, lift it straight up over your head!",anger,joy,3
2,Straight up over your head!,anger,joy,3
2,You can do it!,joy,joy,3
2,You can do it!,joy,joy,3
2,Okay.,neutral,neutral,3
2,You got it?,neutral,joy,3
3,"Oh, okay, I get it.",neutral,neutral,3
3,"No wait, look. Look! I'm sorry, it's just I've never even",fear,neutral,3
3,Howard's the,neutral,neutral,3
3,"Yes but too me he's just, man.",neutral,neutral,3
3,"Okay, fine, whatever. Welcome to the building.",anger,disgust,3
3,"Ugh, can you believe that guy!",disgust,neutral,3
3,Yeah. I really like his glasses.,neutral,neutral,3
4,Ohh!,surprise,joy,3
4,What?,neutral,surprise,3
4,It kicked! I think the baby kicked!,surprise,disgust,3
4,Oh my God!,surprise,fear,3
4,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,disgust,3
4,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,fear,3
4,"Oh wait, Joey, you can’t go like that! You stink!",disgust,fear,3
4,"Look, I know I feel asleep before I could shower and now I don’t have time!",anger,joy,3
4,"They’re just ten blocks away, if I run, I can make it.",neutral,surprise,3
5,You’re coming on to the entire room!  I’m Chandler.,anger,neutral,3
5,Hi.,neutral,neutral,3
5,Hi.,neutral,neutral,3
5,You mind if I,neutral,neutral,3
5,"No, please.",neutral,neutral,3
5,"So uh, what are you in for?",neutral,surprise,3
5,I talk in my sleep.,neutral,surprise,3
5,"What a coincidence, I listen in my sleep.",neutral,surprise,3
5,So why don’t you give me your number?,neutral,neutral,3
6,Previously on Friends.,neutral,surprise,3
6,I don’t know exactly. It’s-it’s sorta like wrestling.,neutral,neutral,3
6,Oh?!,surprise,surprise,3
7,"Yeah, but without the costumes.",neutral,neutral,3
7,Oh.,neutral,surprise,3
7,"And it’s not fake, it’s totally brutal.",neutral,surprise,3
7,"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral,neutral,3
7,"So you can like, bite, and pull people’s hair and stuff?",surprise,neutral,3
7,"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,disgust,3
7,What’s fish hooking?,surprise,disgust,3
7,"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,neutral,3
7,"What? My hands are totally clean, I just gave the duck a bath.",neutral,disgust,3
8,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,neutral,3
8,"Well, that makes me feel so good.",joy,neutral,3
8,It was just so awkward and bumpy.,neutral,neutral,3
8,Bumpy?,surprise,sadness,3
8,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,joy,3
8,And uh maybe you have to get used to it.,neutral,joy,3
8,"Well there really wasn't much time to get used to it, you know what I mean?",joy,neutral,3
9,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,anger,3
9,"Oh well, it’s not so bad.",neutral,sadness,3
9,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,sadness,3
9,Oh!,surprise,surprise,3
9,My God!,surprise,neutral,3
9,"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,neutral,3
9,Excuse me?,surprise,surprise,3
9,Joey! He’s working!  You would look,anger,neutral,3
9,"Oh, how bad is it?",sadness,neutral,3
9,"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,surprise,3
9,How’s your room Rach?,neutral,surprise,3
9,Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,neutral,3
9,Isn’t that mine?,neutral,surprise,3
9,Fine! I’m sorry for your loss!,anger,neutral,3
9,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral,sadness,3
9,"Wow! Oh-okay, look pal, I am",joy,disgust,3
9,"Yes, they can stay with us.",neutral,sadness,3
9,Have you figured out what started the fire Mr. Fireman?,neutral,sadness,3
10,There’s just so much pressure.,anger,sadness,3
10,"I mean no offense, but what you guys do is very different.",neutral,neutral,3
10,I don’t know if you’d understand.,neutral,sadness,3
10,"Yeah, none of us have to deal with pressure at our jobs.",neutral,neutral,3
11,"Well Phoebe, we gotta do something!",sadness,neutral,3
11,I mean there’s no way Joey’s gonna make it in time.,fear,neutral,3
11,So I’m gonna go through the hotel and see if there’s any other weddings going on.,neutral,neutral,3
11,Okay. Oh but don’t tell them Monica’s pregnant because they frown on that.,neutral,neutral,3
11,Okay.,neutral,neutral,3
