episode,true_emotion,utterance,Predicted_Emotion,Second_Predicted_Emotion,window_size
0,mad,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",mad,scared,1
0,neutral,I'm thinking we've got a bookcase here.,mad,neutral,1
0,joyful,It's a beautiful thing.,joyful,joyful,1
0,neutral,What's this?,neutral,neutral,1
0,neutral,I would have to say that is an 'L'-shaped bracket.,neutral,neutral,1
0,neutral,Which goes where?,neutral,neutral,1
0,scared,I have no idea.,neutral,neutral,1
0,joyful,Done with the bookcase!,joyful,joyful,1
0,joyful,All finished!,joyful,joyful,1
0,sad,"This was Carol's favorite beer. She always drank it out of the can, I should have known.",sad,sad,1
0,mad,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",mad,mad,1
0,scared,"Yes, please don't spoil all this fun.",joyful,joyful,1
0,neutral,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",mad,mad,1
0,sad,You guys.,sad,neutral,1
0,sad,"Oh, God.",mad,mad,1
0,mad,You got screwed.,mad,mad,1
0,mad,Oh my God!,mad,scared,1
0,mad,Oh my God!,mad,mad,1
0,sad,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",mad,sad,1
0,sad,"My brother's going through that right now, he's such a mess. How did you get through it?",mad,sad,1
0,powerful,"Well, you might try accidentally breaking something valuable of hers, say her-",mad,mad,1
0,joyful,-leg?,mad,neutral,1
0,joyful,"That's one way! Me, I- I went for the watch.",mad,neutral,1
0,powerful,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",mad,neutral,1
0,peaceful,"Ooh, steer clear of you.",joyful,neutral,1
0,powerful,That's right.,neutral,neutral,1
0,sad,I'm divorced! I'm only 26 and I'm divorced!,neutral,sad,1
0,mad,Shut up!,powerful,mad,1
0,mad,You must stop!,neutral,mad,1
0,sad,That only took me an hour.,scared,neutral,1
0,sad,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",joyful,sad,1
0,scared,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",joyful,scared,1
0,powerful,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",joyful,joyful,1
0,scared,I honestly don't know if I'm hungry or horny.,joyful,neutral,1
0,mad,Stay out of my freezer!,sad,mad,1
0,sad,"Ever since she walked out on me, I, uh...",scared,sad,1
0,neutral,"What?..... What, you wanna spell it out with noodles?",no valid emotion found in the response.,mad,1
0,sad,"No, it's, it's more of a fifth date kinda revelation.",mad,neutral,1
0,neutral,"Oh, so there is gonna be a fifth date?",sad,neutral,1
0,scared,Isn't there?,joyful,neutral,1
0,neutral,"Yeah... yeah, I think there is. -What were you gonna say?",sad,neutral,1
0,sad,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",joyful,sad,1
0,neutral,"Oh God, oh God, I am sorry... I am so sorry...",joyful,sad,1
0,sad,It's okay...,sad,neutral,1
0,neutral,I know being spit on is probably not what you need right now. Um... how long?,sad,sad,1
0,neutral,Two years.,mad,neutral,1
0,joyful,Wow! I'm-I'm-I'm glad you smashed her watch!,mad,joyful,1
0,neutral,"So you still think you, um... might want that fifth date?",no valid emotion found in the response.,neutral,1
0,neutral,"...Yeah. Yeah, I do.",no valid emotion found in the response.,neutral,1
0,peaceful,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",joyful,neutral,1
0,scared,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",joyful,neutral,1
0,joyful,"Angela's the screamer, Andrea has cats.",joyful,neutral,1
0,peaceful,Right. Thanks. It's June. I'm outta here.,neutral,neutral,1
0,sad,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",joyful,sad,1
0,joyful,"Hey, Monica!",scared,neutral,1
0,neutral,"Hey Frannie, welcome back! How was Florida?",scared,neutral,1
0,neutral,"You had sex, didn't you?",mad,mad,1
0,neutral,How do you do that?,mad,neutral,1
0,mad,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",neutral,mad,1
0,neutral,You know Paul?,mad,neutral,1
0,neutral,"Paul the Wine Guy? Oh yeah, I know Paul.",neutral,joyful,1
0,neutral,You mean you know Paul like I know Paul?,neutral,neutral,1
0,neutral,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",neutral,powerful,1
0,mad,Of course it was a line!,mad,mad,1
0,mad,"Why?! Why? Why, why would anybody do something like that?",neutral,mad,1
0,neutral,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,mad,mad,1
0,mad,I hate men! I hate men!,neutral,mad,1
0,peaceful,"Oh no, don't hate, you don't want to put that out into the universe.",joyful,neutral,1
0,mad,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,mad,mad,1
0,peaceful,"All right, c'mere, gimme your feet.",neutral,neutral,1
0,sad,"I just thought he was nice, y'know?",neutral,neutral,1
0,joyful,I can't believe you didn't know it was a line!,neutral,mad,1
0,neutral,Guess what?,sad,neutral,1
0,neutral,You got a job?,sad,neutral,1
0,mad,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,sad,sad,1
0,neutral,And yet you're surprisingly upbeat.,sad,neutral,1
0,joyful,"You would be too if you found John and David boots on sale, fifty percent off!",sad,joyful,1
0,neutral,"Oh, how well you know me...",neutral,joyful,1
0,joyful,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",sad,joyful,1
0,neutral,How'd you pay for them?,sad,neutral,1
0,neutral,"Uh, credit card.",sad,neutral,1
0,neutral,And who pays for that?,mad,neutral,1
0,neutral,Um... my... father.,neutral,neutral,1
0,neutral,I can't believe what I'm hearing here.,joyful,neutral,1
0,joyful,I can't believe what I'm hearing here...,neutral,mad,1
0,scared,What? I-I said you had a-,mad,mad,1
0,joyful,What I said you had...,neutral,neutral,1
0,mad,Would you stop?,sad,mad,1
0,neutral,"Oh, was I doing it again?",sad,neutral,1
0,mad,Yes!,neutral,joyful,1
0,peaceful,"I said that you had a nice butt, it's just not a great butt.",sad,neutral,1
0,joyful,"Oh, you wouldn't know a great butt if it came up and bit ya.",mad,mad,1
0,neutral,There's an image.,mad,neutral,1
0,peaceful,Would anybody like more coffee?,mad,neutral,1
0,scared,"Did you make it, or are you just serving it?",mad,neutral,1
0,neutral,I'm just serving it.,mad,neutral,1
0,joyful,"Yeah. Yeah, I'll have a cup of coffee.",sad,neutral,1
0,peaceful,"Kids, new dream... I'm in Las Vegas.",mad,joyful,1
0,scared,"Ahh, miss? More coffee?",mad,neutral,1
0,mad,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",mad,mad,1
0,neutral,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",neutral,joyful,1
1,neutral,Guys? There's a somebody I'd like you to meet.,no valid emotion found in the response.,neutral,1
1,joyful,Oooh!,mad,neutral,1
1,scared,W-wait. What is that?,mad,neutral,1
1,joyful,'That' would be Marcel. You wanna say hi?,mad,joyful,1
1,scared,"No, no, I don't.",mad,neutral,1
1,joyful,"Oh, he is precious! Where did you get him?",neutral,joyful,1
1,neutral,My friend Bethel rescued him from some lab.,mad,joyful,1
1,neutral,That is so cruel! Why? Why would a parent name their child Bethel?,sad,scared,1
1,joyful,"Hey, that monkey's got a Ross on its ass!",mad,neutral,1
1,neutral,"Ross, is he gonna live with you, like, in your apartment?",mad,neutral,1
1,neutral,"Yeah. I mean, it's been kinda quiet since Carol left, so...",mad,joyful,1
1,neutral,Why don't you just get a roommate?,mad,neutral,1
1,sad,"Nah, I dunno... I think you reach a certain age, having a roommate is kinda pathe- ....sorry, that's, that's 'pathet', which is Sanskrit for 'really cool way to live'.",neutral,mad,1
1,powerful,"...But, you can't actually test this theory, because today's particle accelerators are nowhere near powerful enough to simulate these conditions.",mad,neutral,1
1,neutral,"Okay, alright, I have a question, then.",neutral,neutral,1
1,neutral,Yuh.,mad,sad,1
1,neutral,"Um, were you planning on kissing me ever?",neutral,neutral,1
1,joyful,"Uh, that's definitely a, uh, valid question. And, uh, the answer would be yes. Yes I was. But, see, I wanted it to be this phenomenal kiss that happened at this phenomenal moment, because, well, 'cause it's you.",no valid emotion found in the response.,joyful,1
1,neutral,Sure.,sad,neutral,1
1,scared,"Right. But, see, the longer I waited, the more phenomenal the kiss had to be, and now we've reached a place where it's just gotta be one of those things where I just like... sweep everything off the table and throw you down on it. And, uh, I'm not really a, uh, sweeping sorta fella.",mad,neutral,1
1,joyful,"Oh, David, I, I think you are a sweeping sorta fella. I mean, you're a sweeper! ...trapped inside a physicist's body.",scared,neutral,1
1,neutral,Rrrreally.,sad,neutral,1
1,joyful,"Oh, yeah, oh, I'm sure of it. You should just do it, just sweep and throw me.",mad,joyful,1
1,scared,...Now? Now?,mad,neutral,1
1,powerful,"Oh yeah, right now.",mad,joyful,1
1,neutral,"Okay, okay, okay. Y'know what, this was just really expensive. And I'll take- this was a gift.",mad,joyful,1
1,neutral,"Okay, now you're just kinda tidying.",sad,neutral,1
1,joyful,"Okay, what the hell, what the hell. You want me to actually throw you or you-you wanna just hop?",mad,mad,1
1,joyful,I can hop.,neutral,neutral,1
1,scared,Hello?,neutral,mad,1
1,joyful,Hey!,neutral,mad,1
1,neutral,Hi.,mad,neutral,1
1,joyful,Hi! What-what're you doing here?,joyful,mad,1
1,joyful,"Um, well, Max told me about Minsk, so congratulations! This is so exciting!",joyful,neutral,1
1,sad,It'd be even more exciting if we were going.,neutral,neutral,1
1,joyful,"Oh, you're not going? Oh, why?",joyful,joyful,1
1,mad,"Tell her, David. 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono. I wanna stay here and make out with my girlfriend!!'",joyful,neutral,1
1,peaceful,"Thank you, Max. Thank you.",joyful,joyful,1
1,neutral,So-so you're really not going?,joyful,joyful,1
1,neutral,I don't know. I don't know what I'm gonna do. I just- you decide.,joyful,sad,1
1,scared,Oh don't do that.,mad,neutral,1
1,neutral,Please.,mad,joyful,1
1,neutral,Oh no no.,joyful,joyful,1
1,neutral,"No, but I'm asking-",powerful,neutral,1
1,neutral,"Oh, but I can't do that-",joyful,sad,1
1,scared,"No, but I can't-",no valid emotion found in the response.,mad,1
1,neutral,"It's your thing, and-",mad,mad,1
1,neutral,-make the decision-,sad,neutral,1
1,neutral,"Okay, um, stay.",mad,neutral,1
1,neutral,Stay.,mad,neutral,1
1,neutral,Stay.,neutral,sad,1
1,joyful,Getting so good at that!,sad,neutral,1
1,peaceful,It was Max's stuff.,no valid emotion found in the response.,neutral,1
2,joyful,Ross kissed me.,sad,neutral,1
2,joyful,"Oh my god, oh my god, oh my god!",mad,neutral,1
2,joyful,It was unbelievable!,mad,neutral,1
2,joyful,"Oh my god, oh my god, oh my god!",joyful,joyful,1
2,joyful,"Ok, all right. We want to hear everything. Monica, get the wine and unplug the phone. Rachel, does this end well or do we need to get tissues?",joyful,joyful,1
2,neutral,"Oh, it ended very well.",scared,joyful,1
2,neutral,Oh.,mad,joyful,1
2,neutral,Do not start without me. Do not start without me.,sad,neutral,1
2,joyful,"Ok, all right, let's hear about the kiss. Was it like, was it like a soft brush against your lips? Or was it like a, you know, a ""I gotta have you now"" kind of thing?",joyful,joyful,1
2,joyful,"Well, at first it was really intense, you know. And then, oh, god, and then we just sort of sunk into it.",joyful,neutral,1
2,neutral,"Ok, so, ok, was he holding you? Or was his hand like on your back?",mad,neutral,1
2,joyful,"No, actually first they started on my waist. And then, they slid up, and then, they were in my hair.",mad,neutral,1
2,joyful,Ohhhh.,sad,neutral,1
2,joyful,"This is a nice resume. Nice, nice, nice. Muy impressivo.",joyful,joyful,1
2,neutral,"So, Mr. Rastatter, what exactly does this job entail? The ad wasn't too clear.",joyful,neutral,1
2,neutral,Mockolate.,mad,neutral,1
2,scared,I'm sorry?,mad,neutral,1
2,neutral,Mockolate. It's a completely synthetic chocolate substitute.,mad,neutral,1
2,scared,Ohh.,sad,neutral,1
2,powerful,"Go ahead. Try a piece. Yeah, we think that Mockolate is even better than chocolate.",neutral,mad,1
2,mad,All right. Mmm-mmm.,mad,neutral,1
2,neutral,Yeah?,joyful,scared,1
2,mad,"I love how it crumbles. Now see, your chocolate doesn't do that.",neutral,joyful,1
2,powerful,"No, ma'am. Well, anyhoo, we should be getting our F.D.A. approval any day now, hopefully, in time for Thanksgiving. See, the way we look at it, chocolate already dominates most of your major food-preparation holidays: Easter, Christmas, what have you.",neutral,neutral,1
2,mad,Mmm-mmm.,joyful,mad,1
2,powerful,"But, we're thinking, given the right marketing, we can make Thanksgiving the Mockolate holiday.",sad,powerful,1
2,neutral,Wow.,neutral,neutral,1
2,neutral,Aren't you going to swallow that?,joyful,neutral,1
2,mad,Just waiting for it to stop bubbling.,joyful,mad,1
2,powerful,"Yeah, isn't that great?",joyful,neutral,1
2,mad,Mmm.,joyful,neutral,1
2,powerful,"Well, anyhoo, um, we are looking for a couple of chefs who can create some Thanksgiving-themed recipes. You think you might be interested?",joyful,neutral,1
2,joyful,"Abso... ...lutely. See, I love creating new recipes. I love Thanksgiving. And, well, now, I love Mockolate.",joyful,neutral,1
2,powerful,Really?,joyful,neutral,1
2,joyful,"Especially the after taste, you know, I'll tell ya, that'll last ya till Christmas.",joyful,neutral,1
2,neutral,How about Mockolate mousse?,sad,neutral,1
2,mad,"It's not, it's not very Thanksgiving-y.",sad,neutral,1
2,neutral,"Ok, how about pilgrim Mockolate mousse?",sad,neutral,1
2,neutral,What makes it pilgrim?,sad,joyful,1
2,joyful,We'll put buckles on it.,joyful,joyful,1
2,neutral,Hey.,joyful,joyful,1
2,neutral,Hey.,mad,mad,1
2,neutral,Hey.,sad,scared,1
2,neutral,"Did uh, Ross call?",sad,joyful,1
2,sad,"No, I'm sorry.",joyful,neutral,1
2,mad,"Why didn't he call? He's gonna stay with Julie, isn't he? He's gonna stay with her and she's going to be all, ""Hi, I'm Julie, Ross picked me, and we're gonna to get married, have a lot of kids and dig up stuff together.""",mad,mad,1
2,powerful,"No offense, but that sounds nothing like her.",scared,neutral,1
