Dialogue_ID,Utterance,true_emotion,Predicted_Emotion,Second_Predicted_Emotion,window_size
0,Why do all you’re coffee mugs have numbers on the bottom?,surprise,neutral,surprise,0
0,"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",anger,joy,joy,0
0,Y'know what?,neutral,neutral,neutral,0
1,"Come on, Lydia, you can do it.",neutral,joy,anger,0
1,Push!,joy,joy,joy,0
1,"Push 'em out, push 'em out, harder, harder.",joy,disgust,neutral,0
1,"Push 'em out, push 'em out, way out!",joy,anger,anger,0
1,"Let's get that ball and really move, hey, hey, ho, ho.",joy,joy,joy,0
1,"Let's—  I was just—yeah, right.",joy,neutral,joy,0
1,Push!,joy,anger,joy,0
1,Push!,joy,joy,anger,0
2,Okay.,neutral,neutral,neutral,0
2,"Ross, didn't you say that there was an elevator in here?",neutral,surprise,surprise,0
2,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,no valid emotion found,neutral,0
2,"Okay, go left. Left! Left!",surprise,anger,anger,0
2,"Okay, y'know what? There is no more left, left!",anger,anger,anger,0
2,"Oh okay, lift it straight up over your head!",anger,surprise,neutral,0
2,Straight up over your head!,anger,joy,joy,0
2,You can do it!,joy,joy,joy,0
2,You can do it!,joy,joy,joy,0
2,Okay.,neutral,neutral,neutral,0
2,You got it?,neutral,neutral,neutral,0
3,"Oh, okay, I get it.",neutral,surprise,surprise,0
3,"No wait, look. Look! I'm sorry, it's just I've never even",fear,surprise,anger,0
3,Howard's the,neutral,anger,neutral,0
3,"Yes but too me he's just, man.",neutral,anger,anger,0
3,"Okay, fine, whatever. Welcome to the building.",anger,anger,disgust,0
3,"Ugh, can you believe that guy!",disgust,joy,joy,0
3,Yeah. I really like his glasses.,neutral,surprise,neutral,0
4,Ohh!,surprise,joy,joy,0
4,What?,neutral,surprise,surprise,0
4,It kicked! I think the baby kicked!,surprise,surprise,surprise,0
4,Oh my God!,surprise,surprise,fear,0
4,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,disgust,disgust,0
4,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,anger,anger,0
4,"Oh wait, Joey, you can’t go like that! You stink!",disgust,joy,surprise,0
4,"Look, I know I feel asleep before I could shower and now I don’t have time!",anger,surprise,joy,0
4,"They’re just ten blocks away, if I run, I can make it.",neutral,surprise,surprise,0
5,You’re coming on to the entire room!  I’m Chandler.,anger,neutral,neutral,0
5,Hi.,neutral,neutral,neutral,0
5,Hi.,neutral,surprise,fear,0
5,You mind if I,neutral,surprise,neutral,0
5,"No, please.",neutral,neutral,neutral,0
5,"So uh, what are you in for?",neutral,surprise,surprise,0
5,I talk in my sleep.,neutral,neutral,joy,0
5,"What a coincidence, I listen in my sleep.",neutral,surprise,disgust,0
5,So why don’t you give me your number?,neutral,joy,neutral,0
6,Previously on Friends.,neutral,surprise,surprise,0
6,I don’t know exactly. It’s-it’s sorta like wrestling.,neutral,neutral,neutral,0
6,Oh?!,surprise,surprise,neutral,0
7,"Yeah, but without the costumes.",neutral,disgust,neutral,0
7,Oh.,neutral,surprise,neutral,0
7,"And it’s not fake, it’s totally brutal.",neutral,surprise,surprise,0
7,"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral,surprise,surprise,0
7,"So you can like, bite, and pull people’s hair and stuff?",surprise,neutral,neutral,0
7,"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,surprise,surprise,0
7,What’s fish hooking?,surprise,disgust,disgust,0
7,"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,surprise,neutral,0
7,"What? My hands are totally clean, I just gave the duck a bath.",neutral,joy,disgust,0
8,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,surprise,sadness,0
8,"Well, that makes me feel so good.",joy,neutral,neutral,0
8,It was just so awkward and bumpy.,neutral,neutral,neutral,0
8,Bumpy?,surprise,sadness,neutral,0
8,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,joy,joy,0
8,And uh maybe you have to get used to it.,neutral,joy,joy,0
8,"Well there really wasn't much time to get used to it, you know what I mean?",joy,sadness,disgust,0
